date	place	confirmed	deaths	updated
2020-02-03	Hainan	71	1	2020-02-03 23:43:29
2020-02-03	Hebei	113	1	2020-02-03 23:43:29
2020-02-03	Heilongjiang	121	2	2020-02-03 23:43:29
2020-02-03	Henan	566	2	2020-02-03 23:43:29
2020-02-03	Hong Kong	15	0	2020-02-03 23:43:29
2020-02-03	Hubei	11177	350	2020-02-03 23:43:29
2020-02-03	Hunan	521	0	2020-02-03 23:43:29
2020-02-03	Inner Mongolia	34	0	2020-02-03 23:43:29
2020-02-03	Jiangsu	271	0	2020-02-03 23:43:29
2020-02-03	Jiangxi	391	0	2020-02-03 23:43:29
2020-02-03	Jilin	31	0	2020-02-03 23:43:29
2020-02-03	Liaoning	73	0	2020-02-03 23:43:29
2020-02-03	Macau	8	0	2020-02-03 23:43:29
2020-02-03	Ningxia	31	0	2020-02-03 23:43:29
2020-02-03	Qinghai	13	0	2020-02-03 23:43:29
2020-02-03	Shaanxi	128	0	2020-02-03 23:43:29
2020-02-03	Shandong	259	0	2020-02-03 23:43:29
2020-02-03	Shanghai	203	1	2020-02-03 23:43:29
2020-02-03	Shanxi	66	0	2020-02-03 23:43:29
2020-02-03	Sichuan	254	1	2020-02-03 23:43:29
2020-02-03	Taiwan	10	0	2020-02-03 23:43:29
2020-02-03	Tianjin	56	0	2020-02-03 23:43:29
2020-02-03	Tibet	1	0	2020-02-03 23:43:29
2020-02-03	Xinjiang	24	0	2020-02-03 23:43:29
2020-02-03	Yunnan	114	0	2020-02-03 23:43:29
2020-02-03	Zhejiang	724	0	2020-02-03 23:43:29
2020-01-30	Anhui	200	0	2020-01-31 00:22:04
2020-01-30	Beijing	114	1	2020-01-31 00:22:04
2020-01-30	CHINA TOTAL	7828	170	2020-01-31 00:22:04
2020-01-30	Chongqing	182	0	2020-01-31 00:22:04
2020-01-30	Fujian	101	0	2020-01-31 00:22:04
2020-01-30	Gansu	26	0	2020-01-31 00:22:04
2020-01-30	Guangdong	354	0	2020-01-31 00:22:04
2020-01-30	Guangxi	78	0	2020-01-31 00:22:04
2020-01-30	Guizhou	12	0	2020-01-31 00:22:04
2020-01-30	Hainan	46	1	2020-01-31 00:22:04
2020-01-30	Hebei	65	1	2020-01-31 00:22:04
2020-01-30	Heilongjiang	43	1	2020-01-31 00:22:04
2020-01-30	Henan	278	2	2020-01-31 00:22:04
2020-01-30	Hong Kong	10	0	2020-01-31 00:22:04
2020-01-30	Hubei	4586	162	2020-01-31 00:22:04
2020-01-30	Hunan	277	0	2020-01-31 00:22:04
2020-01-30	Inner Mongolia	18	0	2020-01-31 00:22:04
2020-01-30	Jiangsu	129	0	2020-01-31 00:22:04
2020-01-30	Jiangxi	162	0	2020-01-31 00:22:04
2020-01-30	Jilin	14	0	2020-01-31 00:22:04
2020-01-30	Liaoning	41	0	2020-01-31 00:22:04
2020-01-30	Macau	7	0	2020-01-31 00:22:04
2020-01-30	Ningxia	17	0	2020-01-31 00:22:04
2020-01-30	Qinghai	6	0	2020-01-31 00:22:04
2020-01-30	Shaanxi	63	0	2020-01-31 00:22:04
2020-01-30	Shandong	158	0	2020-01-31 00:22:04
2020-01-30	Shanghai	112	1	2020-01-31 00:22:04
2020-01-30	Shanxi	35	0	2020-01-31 00:22:04
2020-01-30	Sichuan	142	1	2020-01-31 00:22:04
2020-01-30	Taiwan	9	0	2020-01-31 00:22:04
2020-01-30	Tianjin	30	0	2020-01-31 00:22:04
2020-01-30	Tibet	1	0	2020-01-31 00:22:04
2020-01-30	Xinjiang	14	0	2020-01-31 00:22:04
2020-01-30	Yunnan	70	0	2020-01-31 00:22:04
2020-01-30	Zhejiang	428	0	2020-01-31 00:22:04
2020-01-29	Anhui	155	0	2020-01-30 05:29:28
2020-01-29	Beijing	111	1	2020-01-30 05:29:28
2020-01-29	CHINA TOTAL	6095	133	2020-01-30 05:29:28
2020-01-29	Chongqing	147	0	2020-01-30 05:29:28
2020-01-29	Fujian	84	0	2020-01-30 05:29:28
2020-01-29	Gansu	24	0	2020-01-30 05:29:28
2020-01-29	Guangdong	277	0	2020-01-30 05:29:28
2020-01-29	Guangxi	58	0	2020-01-30 05:29:28
2020-01-29	Guizhou	9	0	2020-01-30 05:29:28
2020-01-29	Hainan	43	1	2020-01-30 05:29:28
2020-01-29	Hebei	48	1	2020-01-30 05:29:28
2020-01-29	Heilongjiang	38	1	2020-01-30 05:29:28
2020-01-29	Henan	206	2	2020-01-30 05:29:28
2020-01-29	Hong Kong	10	0	2020-01-30 05:29:28
2020-01-29	Hubei	3554	125	2020-01-30 05:29:28
2020-01-29	Hunan	221	0	2020-01-30 05:29:28
2020-01-29	Inner Mongolia	16	0	2020-01-30 05:29:28
2020-01-29	Jiangsu	99	0	2020-01-30 05:29:28
2020-01-29	Jiangxi	109	0	2020-01-30 05:29:28
2020-01-29	Jilin	9	0	2020-01-30 05:29:28
2020-01-29	Liaoning	39	0	2020-01-30 05:29:28
2020-01-29	Macau	7	0	2020-01-30 05:29:28
2020-01-29	Ningxia	12	0	2020-01-30 05:29:28
2020-01-29	Qinghai	6	0	2020-01-30 05:29:28
2020-01-29	Shaanxi	56	0	2020-01-30 05:29:28
2020-01-29	Shandong	130	0	2020-01-30 05:29:28
2020-01-29	Shanghai	96	1	2020-01-30 05:29:28
2020-01-29	Shanxi	27	0	2020-01-30 05:29:28
2020-01-29	Sichuan	108	1	2020-01-30 05:29:28
2020-01-29	Taiwan	8	0	2020-01-30 05:29:28
2020-01-29	Tianjin	27	0	2020-01-30 05:29:28
2020-01-29	Tibet	0	0	2020-01-30 05:29:28
2020-01-29	Xinjiang	13	0	2020-01-30 05:29:28
2020-01-29	Yunnan	55	0	2020-01-30 05:29:28
2020-01-29	Zhejiang	296	0	2020-01-30 05:29:28
2020-01-28	Anhui	106	0	2020-01-29 03:00:00
2020-01-28	Beijing	91	1	2020-01-29 03:00:00
2020-01-28	CHINA TOTAL	4630	107	2020-01-29 03:00:00
2020-01-28	Chongqing	132	0	2020-01-29 03:00:00
2020-01-28	Fujian	80	0	2020-01-29 03:00:00
2020-01-28	Gansu	19	0	2020-01-29 03:00:00
2020-01-28	Guangdong	207	0	2020-01-29 03:00:00
2020-01-28	Guangxi	51	0	2020-01-29 03:00:00
2020-01-28	Guizhou	9	0	2020-01-29 03:00:00
2020-01-28	Hainan	40	1	2020-01-29 03:00:00
2020-01-28	Hebei	33	1	2020-01-29 03:00:00
2020-01-28	Heilongjiang	30	1	2020-01-29 03:00:00
2020-01-28	Henan	168	1	2020-01-29 03:00:00
2020-01-28	Hong Kong	8	0	2020-01-29 03:00:00
2020-01-28	Hubei	2714	100	2020-01-29 03:00:00
2020-01-28	Hunan	143	0	2020-01-29 03:00:00
2020-01-28	Inner Mongolia	15	0	2020-01-29 03:00:00
2020-01-28	Jiangsu	70	0	2020-01-29 03:00:00
2020-01-28	Jiangxi	72	0	2020-01-29 03:00:00
2020-01-28	Jilin	8	0	2020-01-29 03:00:00
2020-01-28	Liaoning	34	0	2020-01-29 03:00:00
2020-01-28	Macau	7	0	2020-01-29 03:00:00
2020-01-28	Ningxia	11	0	2020-01-29 03:00:00
2020-01-28	Qinghai	6	0	2020-01-29 03:00:00
2020-01-28	Shaanxi	46	0	2020-01-29 03:00:00
2020-01-28	Shandong	95	1	2020-01-29 03:00:00
2020-01-28	Shanghai	66	1	2020-01-29 03:00:00
2020-01-28	Shanxi	20	0	2020-01-29 03:00:00
2020-01-28	Sichuan	90	0	2020-01-29 03:00:00
2020-01-28	Taiwan	8	0	2020-01-29 03:00:00
2020-01-28	Tianjin	24	0	2020-01-29 03:00:00
2020-01-28	Xinjiang	10	0	2020-01-29 03:00:00
2020-01-28	Yunnan	44	0	2020-01-29 03:00:00
2020-01-28	Zhejiang	173	0	2020-01-29 03:00:00
2020-01-27	Anhui	70	0	2020-01-28 05:54:00
2020-01-27	Beijing	80	1	2020-01-28 05:54:00
2020-01-27	CHINA TOTAL	2857	82	2020-01-28 05:54:00
2020-01-27	Chongqing	110	0	2020-01-28 05:54:00
2020-01-27	Fujian	59	0	2020-01-28 05:54:00
2020-01-27	Gansu	14	0	2020-01-28 05:54:00
2020-01-27	Guangdong	151	0	2020-01-28 05:54:00
2020-01-27	Guangxi	46	0	2020-01-28 05:54:00
2020-01-27	Guizhou	7	0	2020-01-28 05:54:00
2020-01-27	Hainan	33	1	2020-01-28 05:54:00
2020-01-27	Hebei	18	1	2020-01-28 05:54:00
2020-01-27	Heilongjiang	21	1	2020-01-28 05:54:00
2020-01-27	Henan	128	1	2020-01-28 05:54:00
2020-01-27	Hong Kong	8	0	2020-01-28 05:54:00
2020-01-27	Hubei	1423	76	2020-01-28 05:54:00
2020-01-27	Hunan	100	0	2020-01-28 05:54:00
2020-01-27	Inner Mongolia	11	0	2020-01-28 05:54:00
2020-01-27	Jiangsu	47	0	2020-01-28 05:54:00
2020-01-27	Jiangxi	48	0	2020-01-28 05:54:00
2020-01-27	Jilin	6	0	2020-01-28 05:54:00
2020-01-27	Liaoning	27	0	2020-01-28 05:54:00
2020-01-27	Macau	6	0	2020-01-28 05:54:00
2020-01-27	Ningxia	7	0	2020-01-28 05:54:00
2020-01-27	Qinghai	6	0	2020-01-28 05:54:00
2020-01-27	Shaanxi	35	0	2020-01-28 05:54:00
2020-01-27	Shandong	75	0	2020-01-28 05:54:00
2020-01-27	Shanghai	53	1	2020-01-28 05:54:00
2020-01-27	Shanxi	13	0	2020-01-28 05:54:00
2020-01-27	Sichuan	69	0	2020-01-28 05:54:00
2020-01-27	Taiwan	5	0	2020-01-28 05:54:00
2020-01-27	Tianjin	22	0	2020-01-28 05:54:00
2020-01-27	Xinjiang	5	0	2020-01-28 05:54:00
2020-01-27	Yunnan	26	0	2020-01-28 05:54:00
2020-01-27	Zhejiang	128	0	2020-01-28 05:54:00
2020-01-26	Anhui	60	0	2020-01-26 18:53:00
2020-01-26	Beijing	54	0	2020-01-26 18:53:00
2020-01-26	Chongqing	75	0	2020-01-26 18:53:00
2020-01-26	Fujian	18	0	2020-01-26 18:53:00
2020-01-26	Gansu	7	0	2020-01-26 18:53:00
2020-01-26	Guangdong	98	0	2020-01-26 18:53:00
2020-01-26	Guangxi	33	0	2020-01-26 18:53:00
2020-01-26	Guizhou	5	0	2020-01-26 18:53:00
2020-01-26	Hainan	22	0	2020-01-26 18:53:00
2020-01-26	Hebei	13	1	2020-01-26 18:53:00
2020-01-26	Heilongjiang	15	1	2020-01-26 18:53:00
2020-01-26	Henan	83	1	2020-01-26 18:53:00
2020-01-26	Hong Kong	5	0	2020-01-26 18:53:00
2020-01-26	Hubei	1053	52	2020-01-26 18:53:00
2020-01-26	Hunan	69	0	2020-01-26 18:53:00
2020-01-26	Inner Mongolia	7	0	2020-01-26 18:53:00
2020-01-26	Jiangsu	31	0	2020-01-26 18:53:00
2020-01-26	Jiangxi	36	0	2020-01-26 18:53:00
2020-01-26	Jilin	4	0	2020-01-26 18:53:00
2020-01-26	Liaoning	19	0	2020-01-26 18:53:00
2020-01-26	Macau	5	0	2020-01-26 18:53:00
2020-01-26	Ningxia	4	0	2020-01-26 18:53:00
2020-01-26	Qinghai	1	0	2020-01-26 18:53:00
2020-01-26	Shaanxi	22	0	2020-01-26 18:53:00
2020-01-26	Shandong	39	0	2020-01-26 18:53:00
2020-01-26	Shanghai	40	1	2020-01-26 18:53:00
2020-01-26	Shanxi	9	0	2020-01-26 18:53:00
2020-01-26	Sichuan	44	0	2020-01-26 18:53:00
2020-01-26	Taiwan	3	0	2020-01-26 18:53:00
2020-01-26	Tianjin	13	0	2020-01-26 18:53:00
2020-01-26	Xinjiang	4	0	2020-01-26 18:53:00
2020-01-26	Yunnan	11	0	2020-01-26 18:53:00
2020-01-26	Zhejiang	104	0	2020-01-26 18:53:00
2020-01-25	Anhui	39	0	2020-01-26 03:08:00
2020-01-25	Beijing	41	0	2020-01-26 03:08:00
2020-01-25	CHINA TOTAL	1377	41	2020-01-26 03:08:00
2020-01-25	Chongqing	57	0	2020-01-26 03:08:00
2020-01-25	Fujian	18	0	2020-01-26 03:08:00
2020-01-25	Gansu	4	0	2020-01-26 03:08:00
2020-01-25	Guangdong	78	0	2020-01-26 03:08:00
2020-01-25	Guangxi	23	0	2020-01-26 03:08:00
2020-01-25	Guizhou	4	0	2020-01-26 03:08:00
2020-01-25	Hainan	19	0	2020-01-26 03:08:00
2020-01-25	Hebei	8	1	2020-01-26 03:08:00
2020-01-25	Heilongjiang	9	1	2020-01-26 03:08:00
2020-01-25	Henan	32	0	2020-01-26 03:08:00
2020-01-25	Hong Kong	5	0	2020-01-26 03:08:00
2020-01-25	Hubei	730	39	2020-01-26 03:08:00
2020-01-25	Hunan	43	0	2020-01-26 03:08:00
2020-01-25	Inner Mongolia	7	0	2020-01-26 03:08:00
2020-01-25	Jiangsu	18	0	2020-01-26 03:08:00
2020-01-25	Jiangxi	18	0	2020-01-26 03:08:00
2020-01-25	Jilin	4	0	2020-01-26 03:08:00
2020-01-25	Liaoning	16	0	2020-01-26 03:08:00
2020-01-25	Macau	2	0	2020-01-26 03:08:00
2020-01-25	Ningxia	3	0	2020-01-26 03:08:00
2020-01-25	Qinghai	1	0	2020-01-26 03:08:00
2020-01-25	Shaanxi	15	0	2020-01-26 03:08:00
2020-01-25	Shandong	27	0	2020-01-26 03:08:00
2020-01-25	Shanghai	33	0	2020-01-26 03:08:00
2020-01-25	Shanxi	6	0	2020-01-26 03:08:00
2020-01-25	Sichuan	28	0	2020-01-26 03:08:00
2020-01-25	Taiwan	3	0	2020-01-26 03:08:00
2020-01-25	Tianjin	10	0	2020-01-26 03:08:00
2020-01-25	Xinjiang	3	0	2020-01-26 03:08:00
2020-01-25	Yunnan	11	0	2020-01-26 03:08:00
2020-01-25	Zhejiang	62	0	2020-01-26 03:08:00
